pair,score
birth Date_topic's main Wikimedia portal,0.42921584791
birth Date_main subject,0.71487061508
birth Date_FIPS 10-4 (countries and regions),0.0
birth Date_is Defined By,0.0
birth Date_page,0.651718727421
birth Date_box office,0.597716098839
birth Date_area,0.519264684632
birth Date_name,0.651718727421
birth Date_Facebook Places ID,0.478126032277
birth Date_nominated for,0.0
birth Date_given name,0.583424580121
birth Date_is a list of,0.499723510798
birth Date_date of death,0.902957206657
birth Date_People Australia identifier,0.416497020078
birth Date_long,0.0
birth Date_BiblioNet author identifier,0.518099116405
birth Date_ Mx4r Nv0nbm4 TTj Op7yhmnz Oyqg,0.0
birth Date_created,0.0
birth Date_Netflix identifier,0.363636363636
birth Date_valid from,0.0
birth Date_type,0.689222111058
birth Date_follows,0.0
birth Date_country Code,0.459579622244
birth Date_running time,0.692477364622
birth Date_ISNI,0.0
birth Date_inception,0.628868918596
birth Date_SUDOC authorities,0.682475617941
birth Date_in region,0.556047004702
birth Date_ Mx4rw LSVCpwp Eb Gdrc N5Y29yc A,0.489393041872
birth Date_NLA (Australia) identifier,0.363636363636
birth Date_is Primary Topic Of,0.470411945443
birth Date_lat,0.259632342316
birth Date_category of associated people,0.389375497643
birth Date_feature Code,0.467565414743
birth Date_date of birth,0.974677990813
birth Date_archives at,0.491376188897
birth Date_followed by,0.0
birth Date_educated at,0.491376188897
birth Date_military branch,0.619029505173
birth Date_OpenPlaques subject identifier,0.538133257761
birth Date_coat of arms image,0.644250215501
birth Date_BNE identifier,0.363636363636
birth Date_Discogs artist ID,0.582177475261
birth Date_Wikivoyage banner,0.417473699751
birth Date_cast member,0.689699733827
birth Date_AlloCin̩ movie ID,0.0
birth Date_postal code,0.382684814411
birth Date_US Federal Election Commission identifier,0.484120793025
birth Date_capital of,0.392304453254
birth Date_producer,0.689222111058
birth Date_image,0.731315075943
birth Date_IMDb identifier,0.363636363636
birth Date_PORT film ID,0.514774708506
birth Date_director of photography,0.623641105998
birth Date_National Portrait Gallery (London) person identifier,0.560715208766
birth Date_located in time zone,0.644626142524
birth Date_country,0.489393041872
birth Date_version Info,0.426696916285
birth Date_FSK film rating,0.534423382742
birth Date_sitelinks,0.0
birth Date_relative,0.778897026947
birth Date_contains administrative territorial entity,0.425571854193
birth Date_EGAXA identifier,0.363636363636
birth Date_population,0.489393041872
birth Date_date Modified,0.629655664876
birth Date_alt Label,0.504916954651
birth Date_FAST-ID,0.0
birth Date_in country,0.489393041872
birth Date_composer,0.618092084891
birth Date_official name,0.671665547486
birth Date_ISO 3166-2 code,0.368128898969
birth Date_category for people born here,0.551020414116
birth Date_disambiguation Hint,0.403048919616
birth Date_name in native language,0.656260600452
birth Date_MusicBrainz area ID,0.467971344101
birth Date_continent,0.447740363773
birth Date_category for people who died here,0.434146430272
birth Date_instance of,0.642788775562
